memcap: unit=memcap-cfl_labels.py_-959729.scope MemoryMax=8G MemorySwapMax=0 :: python experiments/nsbm/cfl_labels.py --workers 4
thetas=3582 cfls=[1.0, 2.0, 4.0, 8.0, 16.0] jobs=17910
[100/17910] 27s
[200/17910] 45s
[300/17910] 69s
[400/17910] 101s
[500/17910] 122s
[600/17910] 151s
[700/17910] 184s
[800/17910] 225s
[900/17910] 260s
[1000/17910] 284s
[1100/17910] 320s
[1200/17910] 360s
[1300/17910] 377s
[1400/17910] 415s
[1500/17910] 435s
[1600/17910] 459s
[1700/17910] 489s
[1800/17910] 519s
[1900/17910] 554s
[2000/17910] 594s
[2100/17910] 613s
[2200/17910] 648s
[2300/17910] 664s
[2400/17910] 681s
[2500/17910] 705s
[2600/17910] 749s
[2700/17910] 770s
[2800/17910] 799s
[2900/17910] 822s
[3000/17910] 851s
[3100/17910] 868s
[3200/17910] 891s
[3300/17910] 948s
[3400/17910] 977s
[3500/17910] 993s
[3600/17910] 1012s
[3700/17910] 1036s
[3800/17910] 1051s
[3900/17910] 1073s
[4000/17910] 1101s
[4100/17910] 1115s
[4200/17910] 1171s
[4300/17910] 1191s
[4400/17910] 1212s
[4500/17910] 1232s
[4600/17910] 1268s
[4700/17910] 1281s
[4800/17910] 1320s
[4900/17910] 1342s
[5000/17910] 1374s
[5100/17910] 1415s
[5200/17910] 1445s
[5300/17910] 1463s
[5400/17910] 1491s
[5500/17910] 1520s
[5600/17910] 1537s
[5700/17910] 1580s
[5800/17910] 1614s
[5900/17910] 1654s
[6000/17910] 1687s
[6100/17910] 1709s
[6200/17910] 1742s
[6300/17910] 1761s
[6400/17910] 1785s
[6500/17910] 1798s
[6600/17910] 1826s
[6700/17910] 1853s
[6800/17910] 1874s
[6900/17910] 1895s
[7000/17910] 1912s
[7100/17910] 1929s
[7200/17910] 1953s
[7300/17910] 1990s
[7400/17910] 2006s
[7500/17910] 2047s
[7600/17910] 2066s
[7700/17910] 2106s
[7800/17910] 2130s
[7900/17910] 2161s
[8000/17910] 2206s
[8100/17910] 2242s
[8200/17910] 2281s
[8300/17910] 2312s
[8400/17910] 2349s
[8500/17910] 2370s
[8600/17910] 2400s
[8700/17910] 2420s
[8800/17910] 2451s
[8900/17910] 2486s
[9000/17910] 2503s
[9100/17910] 2533s
[9200/17910] 2589s
[9300/17910] 2604s
[9400/17910] 2646s
[9500/17910] 2673s
[9600/17910] 2704s
[9700/17910] 2744s
[9800/17910] 2775s
[9900/17910] 2802s
[10000/17910] 2835s
[10100/17910] 2862s
[10200/17910] 2920s
[10300/17910] 2938s
[10400/17910] 2960s
[10500/17910] 3002s
[10600/17910] 3030s
/home/nishioka/envs/python/base/lib/python3.14/site-packages/numpy/linalg/_linalg.py:2768: RuntimeWarning: overflow encountered in dot
  sqnorm = x.dot(x)
/home/nishioka/work/ykep-cae/nsb/solver.py:159: RuntimeWarning: invalid value encountered in divide
  return (resid_fn(x + eps * vec) - rhs_resid) / eps + diag_aug * vec
[10700/17910] 3061s
[10800/17910] 3095s
[10900/17910] 3119s
[11000/17910] 3144s
[11100/17910] 3156s
[11200/17910] 3182s
[11300/17910] 3222s
[11400/17910] 3252s
[11500/17910] 3286s
[11600/17910] 3320s
[11700/17910] 3356s
[11800/17910] 3372s
[11900/17910] 3396s
[12000/17910] 3423s
[12100/17910] 3461s
[12200/17910] 3486s
[12300/17910] 3528s
[12400/17910] 3561s
[12500/17910] 3594s
[12600/17910] 3639s
[12700/17910] 3682s
[12800/17910] 3700s
[12900/17910] 3722s
[13000/17910] 3738s
[13100/17910] 3758s
[13200/17910] 3789s
[13300/17910] 3824s
[13400/17910] 3841s
[13500/17910] 3858s
[13600/17910] 3886s
[13700/17910] 3923s
[13800/17910] 3951s
[13900/17910] 3962s
[14000/17910] 3991s
[14100/17910] 4021s
[14200/17910] 4041s
[14300/17910] 4078s
[14400/17910] 4115s
[14500/17910] 4158s
[14600/17910] 4216s
[14700/17910] 4243s
[14800/17910] 4273s
[14900/17910] 4295s
[15000/17910] 4314s
[15100/17910] 4347s
[15200/17910] 4377s
[15300/17910] 4418s
[15400/17910] 4446s
[15500/17910] 4457s
[15600/17910] 4476s
[15700/17910] 4506s
[15800/17910] 4532s
[15900/17910] 4563s
[16000/17910] 4593s
[16100/17910] 4628s
[16200/17910] 4676s
[16300/17910] 4723s
[16400/17910] 4765s
[16500/17910] 4790s
[16600/17910] 4815s
[16700/17910] 4834s
[16800/17910] 4855s
[16900/17910] 4894s
[17000/17910] 4923s
[17100/17910] 4947s
[17200/17910] 4986s
[17300/17910] 5019s
[17400/17910] 5049s
[17500/17910] 5075s
[17600/17910] 5108s
[17700/17910] 5141s
[17800/17910] 5169s
[17900/17910] 5208s
done -> /home/nishioka/work/ykep-cae/experiments/nsbm/results/cfl_labels.csv (5212s)
