seed,family,u_in,h0,inlet,outlet,cfl_init,n_iter,converged,r0_ratio
0,pins,0.11305968826663142,0.0005583518616340976,north,south,4.0,5,True,1.0
0,pins,0.11305968826663142,0.0005583518616340976,north,south,8.0,4,True,1.0
0,pins,0.11305968826663142,0.0005583518616340976,north,south,1.0,6,True,1.0
0,pins,0.11305968826663142,0.0005583518616340976,north,south,2.0,5,True,1.0
0,pins,0.11305968826663142,0.0005583518616340976,north,south,16.0,4,True,1.0
2,pins,1.1463892680619596,0.0005965026784904464,east,south,1.0,9,True,1.0
2,pins,1.1463892680619596,0.0005965026784904464,east,south,2.0,7,True,1.0
2,pins,1.1463892680619596,0.0005965026784904464,east,south,4.0,7,True,1.0
2,pins,1.1463892680619596,0.0005965026784904464,east,south,8.0,6,True,1.0
2,pins,1.1463892680619596,0.0005965026784904464,east,south,16.0,8,True,1.0
3,pins,1.1027628166722867,0.000517525509171016,west,east,1.0,9,True,1.0
3,pins,1.1027628166722867,0.000517525509171016,west,east,2.0,7,True,1.0
3,pins,1.1027628166722867,0.000517525509171016,west,east,4.0,7,True,1.0
3,pins,1.1027628166722867,0.000517525509171016,west,east,8.0,6,True,1.0
3,pins,1.1027628166722867,0.000517525509171016,west,east,16.0,6,True,1.0
6,grf,0.3021117032670958,0.0006612902575798707,north,west,1.0,8,True,1.0
6,grf,0.3021117032670958,0.0006612902575798707,north,west,2.0,7,True,1.0
6,grf,0.3021117032670958,0.0006612902575798707,north,west,4.0,6,True,1.0
6,grf,0.3021117032670958,0.0006612902575798707,north,west,8.0,5,True,1.0
6,grf,0.3021117032670958,0.0006612902575798707,north,west,16.0,5,True,1.0
1,grf,0.15401250345058173,0.0026766091055036756,north,south,1.0,17,True,1.0
1,grf,0.15401250345058173,0.0026766091055036756,north,south,2.0,15,True,1.0
1,grf,0.15401250345058173,0.0026766091055036756,north,south,4.0,11,True,1.0
1,grf,0.15401250345058173,0.0026766091055036756,north,south,8.0,12,True,1.0
9,grf,0.6091353939956147,0.0005806821334931605,south,south,1.0,8,True,1.0
9,grf,0.6091353939956147,0.0005806821334931605,south,south,2.0,7,True,1.0
9,grf,0.6091353939956147,0.0005806821334931605,south,south,4.0,6,True,1.0
9,grf,0.6091353939956147,0.0005806821334931605,south,south,8.0,6,True,1.0
9,grf,0.6091353939956147,0.0005806821334931605,south,south,16.0,5,True,1.0
10,pins,1.1962767040654725,0.0004839528645256438,south,west,1.0,8,True,1.0
1,grf,0.15401250345058173,0.0026766091055036756,north,south,16.0,15,True,1.0
5,serpentine,0.4682243683524631,0.0019278003041594794,south,east,1.0,54,True,1.0
10,pins,1.1962767040654725,0.0004839528645256438,south,west,2.0,8,True,1.0
10,pins,1.1962767040654725,0.0004839528645256438,south,west,4.0,8,True,1.0
10,pins,1.1962767040654725,0.0004839528645256438,south,west,8.0,7,True,1.0
10,pins,1.1962767040654725,0.0004839528645256438,south,west,16.0,6,True,1.0
5,serpentine,0.4682243683524631,0.0019278003041594794,south,east,2.0,47,True,1.0
5,serpentine,0.4682243683524631,0.0019278003041594794,south,east,4.0,18,True,1.0
11,sin2d,0.6061322692913732,0.0009471071541748236,west,east,1.0,10,True,1.0
11,sin2d,0.6061322692913732,0.0009471071541748236,west,east,2.0,9,True,1.0
11,sin2d,0.6061322692913732,0.0009471071541748236,west,east,4.0,7,True,1.0
11,sin2d,0.6061322692913732,0.0009471071541748236,west,east,8.0,7,True,1.0
5,serpentine,0.4682243683524631,0.0019278003041594794,south,east,8.0,13,True,1.0
5,serpentine,0.4682243683524631,0.0019278003041594794,south,east,16.0,45,True,1.0
14,sin2d,0.82088990648987,0.0006887600066511234,south,west,1.0,9,True,1.0
14,sin2d,0.82088990648987,0.0006887600066511234,south,west,2.0,8,True,1.0
14,sin2d,0.82088990648987,0.0006887600066511234,south,west,4.0,7,True,1.0
14,sin2d,0.82088990648987,0.0006887600066511234,south,west,8.0,6,True,1.0
11,sin2d,0.6061322692913732,0.0009471071541748236,west,east,16.0,6,True,1.0
4,serpentine,1.862611775288342,0.0009737529974200897,south,east,1.0,73,True,1.0
14,sin2d,0.82088990648987,0.0006887600066511234,south,west,16.0,7,True,1.0
12,uturn,0.17632402825819302,0.002653836711676422,west,west,1.0,36,True,1.0
4,serpentine,1.862611775288342,0.0009737529974200897,south,east,2.0,76,True,1.0
4,serpentine,1.862611775288342,0.0009737529974200897,south,east,4.0,120,False,1.0
15,blobs,0.28059732249106406,0.0019630816616183415,north,south,1.0,13,True,1.0
15,blobs,0.28059732249106406,0.0019630816616183415,north,south,2.0,12,True,1.0
4,serpentine,1.862611775288342,0.0009737529974200897,south,east,8.0,120,False,1.0
4,serpentine,1.862611775288342,0.0009737529974200897,south,east,16.0,75,True,1.0
15,blobs,0.28059732249106406,0.0019630816616183415,north,south,16.0,7,True,1.0
17,serpentine,0.53167028221402,0.0004346046271817269,south,east,1.0,8,True,1.0
15,blobs,0.28059732249106406,0.0019630816616183415,north,south,4.0,8,True,1.0
15,blobs,0.28059732249106406,0.0019630816616183415,north,south,8.0,7,True,1.0
17,serpentine,0.53167028221402,0.0004346046271817269,south,east,2.0,7,True,1.0
17,serpentine,0.53167028221402,0.0004346046271817269,south,east,4.0,6,True,1.0
12,uturn,0.17632402825819302,0.002653836711676422,west,west,2.0,30,True,1.0
12,uturn,0.17632402825819302,0.002653836711676422,west,west,4.0,33,True,1.0
12,uturn,0.17632402825819302,0.002653836711676422,west,west,8.0,41,True,1.0
12,uturn,0.17632402825819302,0.002653836711676422,west,west,16.0,35,True,1.0
17,serpentine,0.53167028221402,0.0004346046271817269,south,east,8.0,5,True,1.0
17,serpentine,0.53167028221402,0.0004346046271817269,south,east,16.0,5,True,1.0
18,blobs,0.23193141267877485,0.0015650778101442987,east,north,1.0,11,True,1.0
18,blobs,0.23193141267877485,0.0015650778101442987,east,north,2.0,10,True,1.0
18,blobs,0.23193141267877485,0.0015650778101442987,east,north,4.0,9,True,1.0
18,blobs,0.23193141267877485,0.0015650778101442987,east,north,8.0,7,True,1.0
20,blobs,0.14399949568270187,0.0008674969659333317,east,east,1.0,8,True,1.0
20,blobs,0.14399949568270187,0.0008674969659333317,east,east,2.0,7,True,1.0
18,blobs,0.23193141267877485,0.0015650778101442987,east,north,16.0,7,True,1.0
16,uturn,0.1325540094707939,0.000808845176987954,west,west,1.0,8,True,1.0
20,blobs,0.14399949568270187,0.0008674969659333317,east,east,4.0,6,True,1.0
20,blobs,0.14399949568270187,0.0008674969659333317,east,east,8.0,5,True,1.0
20,blobs,0.14399949568270187,0.0008674969659333317,east,east,16.0,5,True,1.0
21,quad,0.838441255606169,0.0012105097290732332,south,north,1.0,13,True,1.0
21,quad,0.838441255606169,0.0012105097290732332,south,north,2.0,11,True,1.0
21,quad,0.838441255606169,0.0012105097290732332,south,north,4.0,8,True,1.0
16,uturn,0.1325540094707939,0.000808845176987954,west,west,2.0,12,True,1.0
16,uturn,0.1325540094707939,0.000808845176987954,west,west,4.0,11,True,1.0
21,quad,0.838441255606169,0.0012105097290732332,south,north,8.0,9,True,1.0
21,quad,0.838441255606169,0.0012105097290732332,south,north,16.0,7,True,1.0
16,uturn,0.1325540094707939,0.000808845176987954,west,west,8.0,7,True,1.0
16,uturn,0.1325540094707939,0.000808845176987954,west,west,16.0,15,True,1.0
22,pins,0.13038183828803143,0.00047469716070939544,east,west,2.0,6,True,1.0
22,pins,0.13038183828803143,0.00047469716070939544,east,west,4.0,5,True,1.0
22,pins,0.13038183828803143,0.00047469716070939544,east,west,8.0,4,True,1.0
22,pins,0.13038183828803143,0.00047469716070939544,east,west,16.0,4,True,1.0
23,uniform,0.14701782538986688,0.0013139519252780886,north,north,1.0,8,True,1.0
23,uniform,0.14701782538986688,0.0013139519252780886,north,north,2.0,7,True,1.0
23,uniform,0.14701782538986688,0.0013139519252780886,north,north,4.0,6,True,1.0
23,uniform,0.14701782538986688,0.0013139519252780886,north,north,8.0,5,True,1.0
19,uturn,0.22715017156359854,0.0025292432494541817,west,west,1.0,22,True,1.0
19,uturn,0.22715017156359854,0.0025292432494541817,west,west,2.0,25,True,1.0
19,uturn,0.22715017156359854,0.0025292432494541817,west,west,16.0,27,True,1.0
22,pins,0.13038183828803143,0.00047469716070939544,east,west,1.0,6,True,1.0
23,uniform,0.14701782538986688,0.0013139519252780886,north,north,16.0,5,True,1.0
25,uturn,0.19133794236587803,0.0003002156237121717,west,west,1.0,6,True,1.0
25,uturn,0.19133794236587803,0.0003002156237121717,west,west,8.0,4,True,1.0
25,uturn,0.19133794236587803,0.0003002156237121717,west,west,16.0,3,True,1.0
25,uturn,0.19133794236587803,0.0003002156237121717,west,west,2.0,5,True,1.0
25,uturn,0.19133794236587803,0.0003002156237121717,west,west,4.0,4,True,1.0
26,pins,0.12245026274728373,0.0005146604301729427,east,east,1.0,7,True,1.0
26,pins,0.12245026274728373,0.0005146604301729427,east,east,2.0,6,True,1.0
19,uturn,0.22715017156359854,0.0025292432494541817,west,west,4.0,23,True,1.0
19,uturn,0.22715017156359854,0.0025292432494541817,west,west,8.0,23,True,1.0
26,pins,0.12245026274728373,0.0005146604301729427,east,east,4.0,5,True,1.0
26,pins,0.12245026274728373,0.0005146604301729427,east,east,8.0,5,True,1.0
26,pins,0.12245026274728373,0.0005146604301729427,east,east,16.0,4,True,1.0
27,uniform,0.14377423352445817,0.0006179246595077136,north,west,1.0,7,True,1.0
27,uniform,0.14377423352445817,0.0006179246595077136,north,west,2.0,6,True,1.0
27,uniform,0.14377423352445817,0.0006179246595077136,north,west,4.0,6,True,1.0
27,uniform,0.14377423352445817,0.0006179246595077136,north,west,8.0,5,True,1.0
27,uniform,0.14377423352445817,0.0006179246595077136,north,west,16.0,4,True,1.0
30,uniform,0.1318408402841015,0.0008058018374890004,west,west,2.0,7,True,1.0
30,uniform,0.1318408402841015,0.0008058018374890004,west,west,4.0,6,True,1.0
29,blobs,0.4737389000162567,0.0009625948931589999,west,south,4.0,7,True,1.0
29,blobs,0.4737389000162567,0.0009625948931589999,west,south,8.0,7,True,1.0
29,blobs,0.4737389000162567,0.0009625948931589999,west,south,16.0,6,True,1.0
30,uniform,0.1318408402841015,0.0008058018374890004,west,west,1.0,8,True,1.0
29,blobs,0.4737389000162567,0.0009625948931589999,west,south,1.0,9,True,1.0
29,blobs,0.4737389000162567,0.0009625948931589999,west,south,2.0,8,True,1.0
30,uniform,0.1318408402841015,0.0008058018374890004,west,west,8.0,5,True,1.0
30,uniform,0.1318408402841015,0.0008058018374890004,west,west,16.0,5,True,1.0
31,uturn,0.7503138586575241,0.0003505899940898518,west,west,1.0,8,True,1.0
31,uturn,0.7503138586575241,0.0003505899940898518,west,west,2.0,7,True,1.0
31,uturn,0.7503138586575241,0.0003505899940898518,west,west,4.0,6,True,1.0
31,uturn,0.7503138586575241,0.0003505899940898518,west,west,8.0,7,True,1.0
32,blobs,0.30950286114588804,0.0011203423426922026,west,east,2.0,20,True,1.0
32,blobs,0.30950286114588804,0.0011203423426922026,west,east,4.0,8,True,1.0
31,uturn,0.7503138586575241,0.0003505899940898518,west,west,16.0,7,True,1.0
32,blobs,0.30950286114588804,0.0011203423426922026,west,east,1.0,21,True,1.0
33,blobs,1.518693906438367,0.001110740088671001,east,east,1.0,14,True,1.0
33,blobs,1.518693906438367,0.001110740088671001,east,east,2.0,12,True,1.0
32,blobs,0.30950286114588804,0.0011203423426922026,west,east,8.0,16,True,1.0
32,blobs,0.30950286114588804,0.0011203423426922026,west,east,16.0,44,True,1.0
33,blobs,1.518693906438367,0.001110740088671001,east,east,4.0,15,True,1.0
33,blobs,1.518693906438367,0.001110740088671001,east,east,8.0,8,True,1.0
34,uniform,0.2069260308869284,0.002235106229529756,west,east,1.0,12,True,1.0
34,uniform,0.2069260308869284,0.002235106229529756,west,east,2.0,10,True,1.0
34,uniform,0.2069260308869284,0.002235106229529756,west,east,4.0,8,True,1.0
34,uniform,0.2069260308869284,0.002235106229529756,west,east,8.0,8,True,1.0
34,uniform,0.2069260308869284,0.002235106229529756,west,east,16.0,6,True,1.0
35,uniform,1.6461596760584323,0.000862217455442216,east,north,1.0,11,True,1.0
33,blobs,1.518693906438367,0.001110740088671001,east,east,16.0,9,True,1.0
28,serpentine,0.9913106249027405,0.0023015171148271997,south,south,1.0,30,True,1.0
35,uniform,1.6461596760584323,0.000862217455442216,east,north,2.0,13,True,1.0
35,uniform,1.6461596760584323,0.000862217455442216,east,north,4.0,13,True,1.0
37,sin2d,0.12295955134375026,0.001376543612469439,north,south,1.0,8,True,1.0
37,sin2d,0.12295955134375026,0.001376543612469439,north,south,2.0,7,True,1.0
37,sin2d,0.12295955134375026,0.001376543612469439,north,south,4.0,6,True,1.0
37,sin2d,0.12295955134375026,0.001376543612469439,north,south,8.0,5,True,1.0
37,sin2d,0.12295955134375026,0.001376543612469439,north,south,16.0,5,True,1.0
38,sin2d,0.8654410795013527,0.0005331594530792574,east,west,1.0,9,True,1.0
28,serpentine,0.9913106249027405,0.0023015171148271997,south,south,2.0,120,False,1.0
28,serpentine,0.9913106249027405,0.0023015171148271997,south,south,4.0,17,True,1.0
38,sin2d,0.8654410795013527,0.0005331594530792574,east,west,2.0,8,True,1.0
38,sin2d,0.8654410795013527,0.0005331594530792574,east,west,4.0,7,True,1.0
35,uniform,1.6461596760584323,0.000862217455442216,east,north,8.0,72,True,1.0
35,uniform,1.6461596760584323,0.000862217455442216,east,north,16.0,12,True,1.0
38,sin2d,0.8654410795013527,0.0005331594530792574,east,west,8.0,7,True,1.0
38,sin2d,0.8654410795013527,0.0005331594530792574,east,west,16.0,7,True,1.0
39,blobs,0.15023683034037705,0.001038619951387017,north,east,4.0,6,True,1.0
39,blobs,0.15023683034037705,0.001038619951387017,north,east,8.0,5,True,1.0
39,blobs,0.15023683034037705,0.001038619951387017,north,east,1.0,8,True,1.0
39,blobs,0.15023683034037705,0.001038619951387017,north,east,2.0,7,True,1.0
28,serpentine,0.9913106249027405,0.0023015171148271997,south,south,8.0,23,True,1.0
28,serpentine,0.9913106249027405,0.0023015171148271997,south,south,16.0,120,False,1.0
39,blobs,0.15023683034037705,0.001038619951387017,north,east,16.0,5,True,1.0
42,uniform,1.3093677743157601,0.0008241375352280247,south,north,1.0,10,True,1.0
43,uturn,0.10618400291891701,0.0003318154305691471,west,west,1.0,6,True,1.0
43,uturn,0.10618400291891701,0.0003318154305691471,west,west,2.0,6,True,1.0
43,uturn,0.10618400291891701,0.0003318154305691471,west,west,4.0,5,True,1.0
43,uturn,0.10618400291891701,0.0003318154305691471,west,west,8.0,4,True,1.0
42,uniform,1.3093677743157601,0.0008241375352280247,south,north,2.0,9,True,1.0
42,uniform,1.3093677743157601,0.0008241375352280247,south,north,4.0,10,True,1.0
42,uniform,1.3093677743157601,0.0008241375352280247,south,north,8.0,9,True,1.0
42,uniform,1.3093677743157601,0.0008241375352280247,south,north,16.0,15,True,1.0
43,uturn,0.10618400291891701,0.0003318154305691471,west,west,16.0,4,True,1.0
36,grf,1.4551332621392528,0.0007505126477838927,west,east,1.0,17,True,1.0
44,serpentine,0.3372250969959068,0.0005435435286870456,west,south,4.0,6,True,1.0
44,serpentine,0.3372250969959068,0.0005435435286870456,west,south,8.0,6,True,1.0
44,serpentine,0.3372250969959068,0.0005435435286870456,west,south,1.0,8,True,1.0
44,serpentine,0.3372250969959068,0.0005435435286870456,west,south,2.0,7,True,1.0
44,serpentine,0.3372250969959068,0.0005435435286870456,west,south,16.0,6,True,1.0
46,uturn,0.22626710922124174,0.00035838353418646415,west,west,1.0,7,True,1.0
46,uturn,0.22626710922124174,0.00035838353418646415,west,west,2.0,6,True,1.0
46,uturn,0.22626710922124174,0.00035838353418646415,west,west,4.0,6,True,1.0
46,uturn,0.22626710922124174,0.00035838353418646415,west,west,8.0,5,True,1.0
46,uturn,0.22626710922124174,0.00035838353418646415,west,west,16.0,4,True,1.0
36,grf,1.4551332621392528,0.0007505126477838927,west,east,2.0,16,True,1.0
36,grf,1.4551332621392528,0.0007505126477838927,west,east,4.0,31,True,1.0
40,uturn,1.6806121423157034,0.001480935730703424,west,west,16.0,28,True,1.0
47,uniform,0.40291536899181535,0.0017013359221755482,north,east,1.0,11,True,1.0
36,grf,1.4551332621392528,0.0007505126477838927,west,east,8.0,48,True,1.0
36,grf,1.4551332621392528,0.0007505126477838927,west,east,16.0,24,True,1.0
47,uniform,0.40291536899181535,0.0017013359221755482,north,east,2.0,9,True,1.0
